w_flavour,w_nutrition,w_macro,w_cooccurrence,MRR,H@5,H@10
0.1,0.65,0.0,0.25,0.2878,0.4211,0.6316
0.2,0.45,0.1,0.25,0.2876,0.4211,0.6842
0.15,0.25,0.6,0.0,0.2875,0.4211,0.7895
0.1,0.7,0.05,0.15,0.2875,0.4211,0.6842
0.2,0.4,0.1,0.3,0.2875,0.4211,0.6842
0.05,0.35,0.0,0.6,0.2872,0.4211,0.6316
0.1,0.35,0.55,0.0,0.287,0.4737,0.7895
0.1,0.65,0.05,0.2,0.287,0.4211,0.6316
0.15,0.55,0.2,0.1,0.2869,0.4737,0.7895
0.15,0.6,0.2,0.05,0.2869,0.4737,0.7895
0.15,0.2,0.65,0.0,0.2869,0.4211,0.7895
0.05,0.45,0.2,0.3,0.2868,0.3158,0.7895
0.1,0.25,0.65,0.0,0.2866,0.4737,0.7895
0.15,0.5,0.25,0.1,0.2866,0.4737,0.7895
0.1,0.85,0.05,0.0,0.2866,0.4211,0.6842
0.1,0.6,0.05,0.25,0.2866,0.4211,0.6316
0.05,0.4,0.2,0.35,0.2866,0.3158,0.7895
0.05,0.5,0.05,0.4,0.2865,0.4211,0.6316
0.1,0.4,0.5,0.0,0.2864,0.4211,0.7895
0.05,0.4,0.1,0.45,0.2863,0.4211,0.7368
0.05,0.45,0.05,0.45,0.2863,0.4211,0.6316
0.2,0.55,0.2,0.05,0.286,0.4737,0.7895
0.2,0.45,0.25,0.1,0.2859,0.4737,0.7895
0.2,0.5,0.25,0.05,0.2859,0.4737,0.7895
0.1,0.1,0.8,0.0,0.2857,0.5263,0.7368
0.1,0.3,0.6,0.0,0.2857,0.4737,0.7895
0.05,0.35,0.05,0.55,0.2856,0.4211,0.6316
0.05,0.4,0.05,0.5,0.2856,0.4211,0.6316
0.15,0.25,0.35,0.25,0.2855,0.4211,0.7895
0.05,0.45,0.5,0.0,0.2853,0.4737,0.7895
0.1,0.7,0.0,0.2,0.2853,0.4211,0.6316
0.05,0.8,0.05,0.1,0.2853,0.3684,0.7368
0.05,0.7,0.05,0.2,0.2853,0.3684,0.6842
0.25,0.65,0.1,0.0,0.2852,0.4211,0.6316
0.2,0.4,0.3,0.1,0.2851,0.4211,0.7895
0.2,0.4,0.35,0.05,0.2851,0.4211,0.7895
0.2,0.45,0.3,0.05,0.2851,0.4211,0.7895
0.1,0.25,0.05,0.6,0.2851,0.4211,0.6316
0.35,0.65,0.0,0.0,0.2851,0.4211,0.6316
0.1,0.45,0.45,0.0,0.285,0.4211,0.7895
0.25,0.4,0.1,0.25,0.285,0.4211,0.6316
0.25,0.45,0.1,0.2,0.285,0.4211,0.6316
0.25,0.5,0.1,0.15,0.285,0.4211,0.6316
0.25,0.55,0.1,0.1,0.285,0.4211,0.6316
0.25,0.6,0.1,0.05,0.285,0.4211,0.6316
